Key point: Importance of a top-down approach in complex robotic mission,,,,,,,,,,,,,,,,,,,
Source,Topics,Excerpts,,,,,,,,,,,,,,,,,
Interview 5,Limitation of the Bottom-Up Approach in Complex Scenarios,"Yes, I personally like this approach... in this case, different robots performing different tasks or trying to interact with each other or with other things in the environment — it's much harder to have a method to handle this kind of situation... doing it manually is very complicated.",,,,,,,,,,,,,,,,,
Interview 5,"The tool is partially effective for some specification challenges, especially in generic scenarios that require a standardized methodology.","Partially, yes, as I mentioned. Some parts yes, others not so much, and trying to explain a bit more: unfortunately, even now in 2025, we haven't reached a point where we have super advanced robots doing everything and handling complex activities. We're still stuck in these gaps where we need to specify very clearly the context the robot will be operating in for things to be feasible. So, pulling a little from what I mentioned about specific solutions — they end up being much more necessary. What I mean is that, rather than having one generic solution, generality tends to come from the usage itself. You end up using it in so many diverse contexts that you begin to need more generic methods, instead of having to rely on highly specific ones. Unfortunately, we haven't reached that point yet. So, because of that, I think that methods like MutRoSe will indeed address these more generic problems. As I said, it's about making the method more accessible; however, I don't see it — it's not that I don't see it — but if you compare it with more specific methods for more specific applications, I don't think MutRoSe would be capable of handling everything. I know it's not very clearly explained, but the point is: in some specific situations, it might still be easier to do a bit manually or to use something much simpler rather than needing to work with a much more powerful tool that requires more effort, more setup, and so on. But that's my point — at least that's how I see it so far.",,,,,,,,,,,,,,,,,
Interview 2,Liked the approach of starting with a large mission and breaking it down into smaller missions.,"Does it make sense? Yes, I think it does. I like this approach of starting with a large, potentially complex mission, and gradually breaking it down into smaller sub-missions, then into activities, and representing everything involved in that structure — eventually incorporating other abstractions as well, not just goals and activities.",,,,,,,,,,,,,,,,,
Interview 2,"Allows mission decomposition in a clear and structured way, as long as users master the syntax and semantics.","As long as they, of course, learn the syntax and semantics of things. So, I see the positive side of it. The downside is that, generally, it is very difficult to use when the situation is complex.",,,,,,,,,,,,,,,,,
Interview 8,Addresses initial challenges in robotic mission specification.,"I think I think it effectively addresses the challenges at a very kind of beginning level.
I think if you add in like I said, more complex communications. If you have some some sensing degradation or probabilistic behaviours, then it doesn't quite do that yet.
But it could.
And and it certainly not, you know, not ruling it out as such the way that it is.
I don't think you've caused any issues there.
You might want to consider so a lot of the properties you talking about were like functional.
Properties. I don't know if you have performance properties or safety properties. I would imagine in a hospital situation there would be quite a lot of safety properties that you would also be interested.
So perhaps when the when the model is generated, or the decompositions are generated, there might be extra conditions like overall OCL constraints rather than for specific nodes that you might need to be able to check.
Like for example, the robots kind of crash into each other.
They can't hurt the nurse. You know, things like that.
I don't know if you are generating things that would allow that or not, but if if.
I think as it gets more complex, you might find yourself needing needing to check the decompositions against kind of high level properties at some point.",,,,,,,,,,,,,,,,,
Interview 8,Evolution from vague to detailed.,"Yeah, I would call that top down as well.
I think I think you're starting with this very vague natural language specification. Then you gradually add more detail and decompose it.
So I I would say that's top down.
I I can see.
I mean, I know that in the community in general, sometimes people have a different way of thinking of top down versus bottom up, so.
I guess what you get in the end, you can argue that you know.
Some correspondence back up the chain would be looking at bottom up so I can see why someone might.
Say it's not top down, but I think it is.",,,,,,,,,,,,,,,,,
Interview 5,Preference for the Top-Down Approach in Complex Scenarios.,"Yes, personally, I like this approach. It’s much easier to think at a high level than from the bottom up. It depends, though. It depends on how complex the task is. For example, if the task is very simple, bottom-up works just fine — you can start by building the robot for that specific task, assembling the parts, and when you need a controller or something like that, it will handle a very specific or not very complex task. You know? So a small state machine will solve that.
Complexity isn’t much of a problem in this case, so it's straightforward to build a new robot. However, when we start having much more complex applications, like resource allocation and different robots performing different tasks or trying to interact with each other or with other things in the environment, it becomes much harder to have a method for doing this kind of thing. For instance, if I need to perform a specific task with 5 robots — robots that will open a door, grab something here and there, and do the same task — I can do it manually. But if I need a method for doing this for different tasks, doing it by hand becomes very complicated. It’s very time-consuming, and there’s a lot of decomposition involved.
So, I wouldn’t particularly say that I like being forced into a top-down approach, because it provides a method for this. It gives me flexibility, you know? Even if I end up doing it manually, at least I have a method for how to do this for different cases without having to reinvent the wheel. It’s like doing addition — I don’t need to gather pebbles and add them one by one. I have a method to do the calculation, and I can apply it for different parameters to solve my problem. It’s much simpler and more direct. That would be my answer.

",,,,,,,,,,,,,,,,,
Interview 4,"Captures high-level needs (e.g., organizational objectives) that developers or roboticists might not prioritize.","I understand, I understand. Thank you, thank you for the explanation. As for my opinion on the top-down approach, I find it very interesting. Actually, it’s because it brings the user closer — not a regular user, but a manager, for instance, in a hospital, bringing a better understanding of the mission design. It also brings in more of a business perspective, or other types of views that the developer or someone closer to the robot might not have. So I think that’s an advantage. A disadvantage, though, is that it may lose some details — in terms of the robot's capabilities, for example, or the order in which tasks must be executed. From an optimization perspective, this approach could also be applied at a managerial level. If you take people from production engineering, they’re doing exactly this — they work with operational research and process optimization. So, perhaps some of this information gets lost in the top-down view, at least in the one you showed. But overall, I really like it. It brings the mission development closer to people who wouldn’t typically be part of the conversation. They would normally need an intermediary, like the developer. So, I do find it really interesting, yes.",,,,,,,,,,,,,,,,,
Interview 9,Comparison with certification practices and requirement decomposition.,"And also, I’m not sure how familiar you are with certification procedures and all that, but it’s a very standard mechanism: you start with high-level requirements, then move on to low-level requirements, and finally to implementation. So, I think it fits very well with what people are used to doing.",,,,,,,,,,,,,,,,,
Interviewee 7 Questionary Response,,"In particular, the ability to specify from higher-level goal tasks, through intermediate (compound) tasks (which can themselves be composed of simpler tasks), down to primitive actions is truly powerful and flexible, yet also well-suited for both practitioners—such as experienced developers and modelers (who are interested in all levels down to the leaves, in order to reach a higher level of detail)—and for modelers or other users with limited or no robotics experience (who can start from the higher levels, understand the mission in its entirety in an incremental way, and then gradually refine it down to the lowest-level primitive actions that will actually be executed by the robots).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The need for an iterative mixed approach,,,,,,,,,,,,,,,,,,,
Source,Topics,Excerpts,,,,,,,,,,,,,,,,,
Interview 3,Need for Complementarity with Bottom-Up.,"I believe we need an iterative mixed approach, where we start in a top-down fashion, but might need to revisit the specification once we get to the details.  I think this is true in most approaches: as we learn more, we refine our vision. ",,,,,,,,,,,,,,,,,
Interview 4,"Recognizes that it doesn’t solve all challenges in robotic specification, especially those of a technical nature.","I see, I see. Thank you, thank you for the explanation.
My opinion about the top-down approach, I find it very interesting.
In fact, it's because it brings the user closer, not just a regular user, but someone like a hospital manager, to understanding and designing the mission itself, right?
It also brings in a more business-oriented perspective or other types of perspectives that the developer or the person closer to the robot might not necessarily have, right? So, I think that's an advantage.
A disadvantage is that it might miss out on some details, right? In terms of the robot’s capabilities, and in the order in which tasks have to be executed.
And from an optimization perspective, the missions could also be optimized at a managerial level, right? If you take the production engineering people, they do exactly this — they work with this, with operations research and process optimization.
And yes, you might lose a bit of that information in the top-down view, at least in the one you showed.
But overall, I really like it. It brings mission development closer to people who wouldn’t have been able to be part of this conversation before, right? They would need an intermediary, the developer, for example. So, I think it’s definitely very interesting.",,,,,,,,,,,,,,,,,
Interview 7,Supports coevolution between model and code.,"I want to keep it exclusively as a top-down approach.
Or maybe you could also envision a hybrid approach, as that often happens. If you think, for instance, about the world of sales, you can explore three different types of approaches.
The top-down approach, which is model first, then code; and the bottom-up approach, where code comes first, then the model. Then, we have the hybrid approach, which is usually what developers prefer.
What they often do is start with a top-down description of the problem. From that, they derive some stable framework or specification in terms of low-level code. Then, they begin modifying the code and want to see these changes reflected in the models.
So, it's an evolution and progression. I don’t know if this could happen tomorrow morning, but it could be a long-term goal to keep in mind while engineering. You know, this kind of approach.""
 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The approach facilitates the comprehensibility,,,,,,,,,,,,,,,,,,,
Source,Topics,Excerpts,,,,,,,,,,,,,,,,,
Interview 6,The approach is interesting and user-friendly.,"So I think that the goal is very, let's say user friendly.
And the main point is that maybe.
The fact that you you consider it the.
Leaf goal as a query goal and the.
And the goal plus the task.
SD.
How do you call it action goal?

Speaker 1   44:57
The chief goal? Chief goal.

Entrevistado 6   44:58
At achieved goal, this is interesting, but maybe may not be intuitive.
At the 1st the 1st moment. So yeah, if it is clear, it's a very a very interesting way of modeling this information.
For the H scan part, I think it's good because as I understood it's a way.
For not having.
A full model, a heavy model and at the same time for.
Initializing it, let's say not at runtime, but at least considering context or factors.
So did I get it good. OK.

Speaker 1   45:42
Perfect. Perfect. Yes, yes.

Entrevistado 6   45:44
OK, so I think it's a. It's a very interesting approach, very good approach.
I don't know how.
How much effort will it take to to move from the model to the real execution?
I don't know if it's part of this work. If you're going to consider it later, but just to to understand if you consider it how much effort would it take?
But.
Generally I like it.
Let's say this.",,,,,,,,,,,,,,,,,
Interview 4,Very interesting approach for democratizing mission planning.,"I see, I see. Thank you, thank you for the explanation.
My opinion about the top-down approach, I find it very interesting.
In fact, it's because it brings the user closer, not just a regular user, but someone like a hospital manager, to understanding and designing the mission itself, right?
It also brings in a more business-oriented perspective or other types of perspectives that the developer or the person closer to the robot might not necessarily have, right? So, I think that's an advantage.
A disadvantage is that it might miss out on some details, right? In terms of the robot’s capabilities, and in the order in which tasks have to be executed.
And from an optimization perspective, the missions could also be optimized at a managerial level, right? If you take the production engineering people, they do exactly this — they work with this, with operations research and process optimization.
And yes, you might lose a bit of that information in the top-down view, at least in the one you showed.
But overall, I really like it. It brings mission development closer to people who wouldn’t have been able to be part of this conversation before, right? They would need an intermediary, the developer, for example. So, I think it’s definitely very interesting.",,,,,,,,,,,,,,,,,
Interview 2,"Combines visual language and natural language, making specification more intuitive.","The advantage is that you have a system that’s easier for users from different backgrounds and domains to model what they need. I think that’s the main benefit. Because they can use a visual language, a visual notation. They can use natural language to specify certain things.",,,,,,,,,,,,,,,,,
